Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Sr. Data Scientist,-1,"Job Brief
**Selected candidate for this position will be eligible for a one-time sign on bonus of $2,000.00**
The Alaka`ina Foundation Family of Companies (FOCs) is looking for a Senior Data Scientist to support our government customer located in Falls Church, VA , San Antonio, TX or remote.
**Selected candidate for this position will be eligible for a one-time sign on bonus of $2,000.00**
The Alaka`ina Foundation Family of Companies has partnered with the Defense Health Agency (DHA) to deliver world class, data-driven decision science analytics of military healthcare operations and the delivery of healthcare services worldwide. Alaka`ina and its partners will lead with way for DHA to expand its current analytical services to incorporate leading-edge technologies and advanced skills.

Show More
Report","Alaka`ina Foundation Family of Companies
3.7","Alaka`ina Foundation Family of Companies
3.7",United States,1001 to 5000 Employees,-1,Government,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$130K - $160K,"Job Title: Data Scientist
Experience Levels: 5+ years
Location: Located in Doral, FL
Clearance: TS/SCI
We seek a dedicated and proactive technical subject matter expert to work in all stages of the data development lifecycle for advanced analytics projects including Big Data, artificial intelligence/machine learning, and other applications to advance current platform capabilities within multiple classification domains. Use data enrichment techniques to feed RDF triplestore and manage data with graph database. Uncovers and explains actionable insights from data by combining scientific method, math and statistics, specialized programming, advanced analytics, AI, and storytelling.
Show More
Report","Quiet Professionals LLC
4.5","Quiet Professionals LLC
4.5","Doral, FL",201 to 500 Employees,2013,Company - Private,Aerospace & Defense,Aerospace & Defense,$5 to $25 million (USD)
Data Scientist (V),Employer Provided Salary:$140K - $180K,"DCI Job Requirement for:
Data Scientist
Location: APG, MD
Job Description
Serve as a Data Scientist for C5ISR Sustainment
Develop and implement natural language processing models for cyber defense
Manage large technical projects, including:
Scoping work
Interfacing with other teams
Show More
Report","DCI Solutions
3.7","DCI Solutions
3.7","Aberdeen, MD",1 to 50 Employees,-1,Contract,-1,-1,Unknown / Non-Applicable
Polymer Lab Specialist Level 3,Employer Provided Salary:$92K,"Additive Manufacturing Polymer Lab Specialist Level 3
Job Description:
This is a full-time Polymer Lab Specialist Level 3 position, reporting to the Principal Materials Engineer. The Lab Specialist will work under supervision during the first year and will be expected to work with full autonomy and independence over time.
We are seeking an intrinsically motivated, data oriented and hands-on individual possessing strong critical thinking skills, who desires to thrive in an industrial R&D, laboratory and advanced manufacturing setting. This individual must be able to lead the expansion of our materials development and testing capabilities and proficiency in multi-disciplinary environment supporting our need for novel materials and product solutions for large scale AM systems. Seeking to fill position immediately.
Show More
Report",Center Street Technologies,Center Street Technologies,"Youngstown, OH",-1,-1,-1,-1,-1,-1
Operations Planning & Analysis Manager,Employer Provided Salary:$95K - $110K,"General Definition: The role of the Operational Performance Manager encompasses a wide range of responsibilities aimed at improving operational efficiency and driving/expanding the business forward.
Responsibilities include generating and analyzing operational reports on a day-to-day basis to provide insights into key performance indicators (KPIs), operational metrics, and trends, enabling the organization to track progress and identify areas for improvement. The manager is also involved in developing forecasts for various operational aspects, such as demand, resource utilization, or performance output by leveraging historical data and market trends and providing accurate projections that help guide decision-making and resource allocation.
Supervision Received: Sr. Vice President of Operations
Supervision Exercised: N/A
Show More
Report","Global Gaming Solutions, LLC","Global Gaming Solutions, LLC","Oklahoma City, OK",-1,-1,-1,-1,-1,-1
Senior Data Scientist,$111K - $149K (Glassdoor est.),"Senior Data Scientist
Greensea is revolutionizing ship husbandry using autonomous robots and artificial intelligence. Through a subscription service called EverClean, Greensea robots
continuously clean ship hulls and provide regular hull surveys. Clean ship hulls result in substantially reduced operating costs, lower carbon emissions, and reduced environmental impacts while regular survey data provides the intelligence ship owners need to make on-time maintenance decisions. Using robots that are resident on ships and within ports and harbors that are supervised by remote operations specialists,
Greensea’s service is scalable worldwide at a fraction of the cost required by traditional husbandry methods.
A key deliverable of Greensea’s service is a cloud-based intelligence platform called EverClean IQ. This product allows ship owners and operators to get unprecedented access to the health and status of their hulls, enabling them to make more accurate decisions about cleaning frequency and maintenance events. Using the data collected from the hull, Greensea IQ is creating object recognition and machine learning models to enable ship owners to predict fouling levels and maintenance events to ensure that ships are running as efficiently as possible, saving fuel and reducing the global shipping industry’s greenhouse gas emission footprint.
Show More
Report","Greensea Systems
5.0","Greensea Systems
5.0","Plymouth, MA",1 to 50 Employees,2006,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
"Associate Director, Data Science (Biomarker, Omics)",Employer Provided Salary:$192K - $288K,"200+ compounds are supported by the quantitative drug developers in Early Development Analytics at Novartis. We transform data from multiple sources - clinical, biomarker, digital sensor, imaging - into analyses and insights that build the basis for making innovative drugs accessible for patients. We influence decision-making in cross-functional international teams from early to late phase drug development.

The Early Development Analytics group is searching for an Associate Director Data Scientist. As the successful candidate, you will drive the biomarker strategy for early and late development clinical programs in multiple indications or a disease area, working closely with interdisciplinary teams to analyze and interpret biomarker data to inform critical project decisions and understand mechanisms of response/resistance to therapy. You will be responsible for designing and executing the biomarker strategy in those programs to inform drug development, and you will set the strategy for addressing biomarker issues in early/late phase trials, regulatory submissions and directly influence drug development decisions with internal and external partners.

What you’ll be doing: Your responsibilities include, but are not limited to:

This position will be located at the Cambridge, MA site and will not have the ability to be located remotely. This position may require 1% travel as defined by the business (domestic and/ or international).










Show More
Report","Novartis
4.0","Novartis
4.0","Cambridge, MA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$80K - $105K,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
Job purpose
Celink is rapidly building proprietary servicing system on AWS and automating manual servicing processes. Data is a critical part of our business and influences every aspect of the work that we do. The Data Management (DM) team is hiring a Data Scientist to focus on data analytical efforts. This role must ensure the successful completion of multiple statistical/analytical models that can be applied on Celink Data Lake that will provide insights for business operations.
As a Data Scientist, you will analyze complex mortgage and servicing operations data sets to extract valuable insights that can assist in making data-driven business decisions. You will need to understand the analytical use case and collaborate with available resources to comprehend the available data and determine the most suitable statistical/analytical model for the job. You will perform feature engineering and model selection. Once you have tested the model and obtained the desired results, you will present them using visualization tools like Power BI and “productionalize” the model for automated insights.

Show More
Report",Celink,Celink,Remote,-1,-1,-1,-1,-1,-1
Data Scientist with Full Scope Polygraph (! US Citizen / Top Secret Only ),Employer Provided Salary:$190K - $205K,"Data Scientist with Full Scope Polygraph
Location: Chantilly, VA
Security Clearance: Fullscope Polygraph
The Data Scientist will serve on the intelligence analysis staff for a U.S. Federal Government Agency working with classified media. This position will work with a team of designers, engineers, architects, and data scientists to query and structure data, apply algorithms to develop machine learning models, develop metrics and data visualizations, and deploy visualization products to web-based environments.
The Data Scientist will have a strong background in technology, the ability to structure data for reporting, and a strategic view for how to present analytic results to customers.
Show More
Report",Wallach Search,Wallach Search,"Chantilly, VA",-1,-1,-1,-1,-1,-1
Senior Data Scientist,$105K - $147K (Glassdoor est.),"Setting the Standard for Exceptional Care
For ninety years, Silver Hill Hospital has been at the forefront of psychiatry and leading the way in providing the best treatment for psychiatric illnesses and addiction. Our track record of success is based on a carefully executed team effort, one that uses an array of powerful tools, talent and knowledge to help people turn their lives around. We have opportunities available for individuals who have a passion to make a difference in the lives of our patients.
Senior Data Scientist
Silver Hill Hospital is seeking an experienced and detail-oriented Senior Data Scientist to join our Information Technology (IT) team. The Senior Data Scientist will be responsible for building and maintaining the organization's data assets and implementing data visualization strategies to ensure Silver Hill Hospital operates at peak efficiency. The ideal candidate will have a strong background in IT and data science, as well as excellent communication, organization, and analytical skills.




Show More
Report","Silver Hill Hospital
4.1","Silver Hill Hospital
4.1","New Canaan, CT",201 to 500 Employees,1934,Company - Private,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD)
